unit: MeV 
spectrum:
6.700660066006600135e-02 1.000000000000000048e-04
6.800670067006700514e-02 1.000000000000000048e-04
6.900680068006800894e-02 1.000000000000000048e-04
7.000690069006901273e-02 1.000000000000000048e-04
7.100700070007000264e-02 1.000000000000000048e-04
7.200710071007100643e-02 1.000000000000000048e-04
7.300720072007201022e-02 1.000000000000000048e-04
7.400730073007301402e-02 1.000000000000000048e-04
7.500740074007400393e-02 1.000000000000000048e-04
7.600750075007500772e-02 1.000000000000000048e-04
7.700760076007601151e-02 1.000000000000000048e-04
7.800770077007701531e-02 1.000000000000000048e-04
7.900780078007800522e-02 1.000000000000000048e-04
8.000790079007900901e-02 1.000000000000000048e-04
8.100800080008001280e-02 1.000000000000000048e-04
8.200810081008100272e-02 1.000000000000000048e-04
8.300820082008200651e-02 1.000000000000000048e-04
8.400830083008301030e-02 1.000000000000000048e-04
8.500840084008401409e-02 1.000000000000000048e-04
8.600850085008500401e-02 1.000000000000000048e-04
8.700860086008600780e-02 1.000000000000000048e-04
8.800870087008701159e-02 1.000000000000000048e-04
8.900880088008801538e-02 1.000000000000000048e-04
9.000890089008900530e-02 1.000000000000000048e-04
9.100900090009000909e-02 1.000000000000000048e-04
9.200910091009101288e-02 1.000000000000000048e-04
9.300920092009201667e-02 1.000000000000000048e-04
9.400930093009300659e-02 1.000000000000000048e-04
9.500940094009401038e-02 1.000000000000000048e-04
9.600950095009501417e-02 1.000000000000000048e-04
9.700960096009600409e-02 1.000000000000000048e-04
9.800970097009700788e-02 1.000000000000000048e-04
9.900980098009801167e-02 1.000000000000000048e-04
1.000099009900990155e-01 1.000000000000000048e-04
1.010100010001000054e-01 1.000000000000000048e-04
1.020101010101010092e-01 1.000000000000000048e-04
1.030102010201020130e-01 1.000000000000000048e-04
1.040103010301030168e-01 1.000000000000000048e-04
1.050104010401040067e-01 1.000000000000000048e-04
1.060105010501050105e-01 1.000000000000000048e-04
1.070106010601060142e-01 1.000000000000000048e-04
1.080107010701070180e-01 1.000000000000000048e-04
1.090108010801080080e-01 1.000000000000000048e-04
1.100109010901090117e-01 1.000000000000000048e-04
1.110110011001100155e-01 1.000000000000000048e-04
1.120111011101110193e-01 1.000000000000000048e-04
1.130112011201120092e-01 1.000000000000000048e-04
1.140113011301130130e-01 1.000000000000000048e-04
1.150114011401140168e-01 1.000000000000000048e-04
1.160115011501150067e-01 1.000000000000000048e-04
1.170116011601160105e-01 1.000000000000000048e-04
1.180117011701170143e-01 1.000000000000000048e-04
1.190118011801180181e-01 1.000000000000000048e-04
1.200119011901190080e-01 1.000000000000000048e-04
1.210120012001200118e-01 1.000000000000000048e-04
1.220121012101210156e-01 1.000000000000000048e-04
1.230122012201220194e-01 1.000000000000000048e-04
1.240123012301230093e-01 1.000000000000000048e-04
1.250124012401239992e-01 1.000000000000000048e-04
1.260125012501250030e-01 1.000000000000000048e-04
1.270126012601260068e-01 1.000000000000000048e-04
1.280127012701270106e-01 1.000000000000000048e-04
1.290128012801280144e-01 1.000000000000000048e-04
1.300129012901290182e-01 1.000000000000000048e-04
1.310130013001300220e-01 1.000000000000000048e-04
1.320131013101310258e-01 1.000000000000000048e-04
1.330132013201320018e-01 1.000000000000000048e-04
1.340133013301330056e-01 1.000000000000000048e-04
1.350134013401340094e-01 1.000000000000000048e-04
1.360135013501350132e-01 1.000000000000000048e-04
1.370136013601360170e-01 1.000000000000000048e-04
1.380137013701370208e-01 1.000000000000000048e-04
1.390138013801380246e-01 1.000000000000000048e-04
1.400139013901390284e-01 1.000000000000000048e-04
1.410140014001400044e-01 1.000000000000000048e-04
1.420141014101410082e-01 1.000000000000000048e-04
1.430142014201420120e-01 1.000000000000000048e-04
1.440143014301430158e-01 1.000000000000000048e-04
1.450144014401440196e-01 1.000000000000000048e-04
1.460145014501450234e-01 1.000000000000000048e-04
1.470146014601460271e-01 1.000000000000000048e-04
1.480147014701470032e-01 1.000000000000000048e-04
1.490148014801480070e-01 1.000000000000000048e-04
1.500149014901490108e-01 1.000000000000000048e-04
1.510150015001500146e-01 1.000000000000000048e-04
1.520151015101510183e-01 1.000000000000000048e-04
1.530152015201520221e-01 1.000000000000000048e-04
1.540153015301530259e-01 1.000000000000000048e-04
1.550154015401540297e-01 1.000000000000000048e-04
1.560155015501550058e-01 1.000000000000000048e-04
1.570156015601560096e-01 1.000000000000000048e-04
1.580157015701570133e-01 1.000000000000000048e-04
1.590158015801580171e-01 1.000000000000000048e-04
1.600159015901590209e-01 1.000000000000000048e-04
1.610160016001600247e-01 1.000000000000000048e-04
1.620161016101610285e-01 1.000000000000000048e-04
1.630162016201620045e-01 1.000000000000000048e-04
1.640163016301630083e-01 1.000000000000000048e-04
1.650164016401640121e-01 1.000000000000000048e-04
1.660165016501650159e-01 1.000000000000000048e-04
1.670166016601660197e-01 1.000000000000000048e-04
1.680167016701670235e-01 1.000000000000000048e-04
1.690168016801680273e-01 1.000000000000000048e-04
1.700169016901690311e-01 1.000000000000000048e-04
1.710170017001700071e-01 1.000000000000000048e-04
1.720171017101710109e-01 1.000000000000000048e-04
1.730172017201720147e-01 1.000000000000000048e-04
1.740173017301730185e-01 1.000000000000000048e-04
1.750174017401740223e-01 1.000000000000000048e-04
1.760175017501750261e-01 1.000000000000000048e-04
1.770176017601760299e-01 1.000000000000000048e-04
1.780177017701770059e-01 1.000000000000000048e-04
1.790178017801780097e-01 1.000000000000000048e-04
1.800179017901790135e-01 1.000000000000000048e-04
1.810180018001800173e-01 1.000000000000000048e-04
1.820181018101810211e-01 1.000000000000000048e-04
1.830182018201820249e-01 1.000000000000000048e-04
1.840183018301830287e-01 1.000000000000000048e-04
1.850184018401840325e-01 1.000000000000000048e-04
1.860185018501850085e-01 1.000000000000000048e-04
1.870186018601860123e-01 1.000000000000000048e-04
1.880187018701870161e-01 1.000000000000000048e-04
1.890188018801880199e-01 1.000000000000000048e-04
1.900189018901890237e-01 1.000000000000000048e-04
1.910190019001900275e-01 1.000000000000000048e-04
1.920191019101910312e-01 1.000000000000000048e-04
1.930192019201920073e-01 1.000000000000000048e-04
1.940193019301930111e-01 1.000000000000000048e-04
1.950194019401940149e-01 1.000000000000000048e-04
1.960195019501950187e-01 1.000000000000000048e-04
1.970196019601960224e-01 1.000000000000000048e-04
1.980197019701970262e-01 1.000000000000000048e-04
1.990198019801980300e-01 1.000000000000000048e-04
2.000199019901990338e-01 1.000000000000000048e-04
2.010200020002000099e-01 1.000000000000000048e-04
2.020201020102010137e-01 1.000000000000000048e-04
2.030202020202020174e-01 1.000000000000000048e-04
2.040203020302030212e-01 1.000000000000000048e-04
2.050204020402040250e-01 1.000000000000000048e-04
2.060205020502050288e-01 1.000000000000000048e-04
2.070206020602060326e-01 1.000000000000000048e-04
2.080207020702070364e-01 1.000000000000000048e-04
