unit: GeV 
spectrum:
1.959049590495905158e-02 4.408399400055559170e+01
1.969039690396904088e-02 4.382771031152379493e+01
1.979029790297903019e-02 4.357403988825216601e+01
1.989019890198902296e-02 4.332294333399934771e+01
1.999009990099900880e-02 4.307438203958450629e+01
2.009000090000900157e-02 4.282831816380598156e+01
2.018990189901899088e-02 4.258471461444113970e+01
2.028980289802898018e-02 4.234353502980771822e+01
2.038970389703897296e-02 4.210474376086695969e+01
2.048960489604895879e-02 4.186830585385057901e+01
2.058950589505895157e-02 4.163418703339326754e+01
2.068940689406894087e-02 4.140235368615405775e+01
2.078930789307893018e-02 4.117277284490980094e+01
2.088920889208892295e-02 4.094541217310509751e+01
2.098910989109891226e-02 4.072023994984353124e+01
2.108901089010890156e-02 4.049722505530537831e+01
2.118891188911889434e-02 4.027633695657790724e+01
2.128881288812888017e-02 4.005754569388458464e+01
2.138871388713887295e-02 3.984082186720026186e+01
2.148861488614886225e-02 3.962613662323969521e+01
2.158851588515885156e-02 3.941346164280729170e+01
2.168841688416884433e-02 3.920276912849647744e+01
2.178831788317883017e-02 3.899403179272759701e+01
2.188821888218882294e-02 3.878722284611311011e+01
2.198811988119881225e-02 3.858231598614031554e+01
2.208802088020880156e-02 3.837928538616088758e+01
2.218792187921879433e-02 3.817810568467798049e+01
2.228782287822878364e-02 3.797875197492154342e+01
2.238772387723877294e-02 3.778119979470253753e+01
2.248762487624876572e-02 3.758542511653774909e+01
2.258752587525875155e-02 3.739140433803662233e+01
2.268742687426874433e-02 3.719911427254198344e+01
2.278732787327873363e-02 3.700853214001715230e+01
2.288722887228872294e-02 3.681963555817149114e+01
2.298712987129871571e-02 3.663240253381748346e+01
2.308703087030870155e-02 3.644681145445227344e+01
2.318693186931869432e-02 3.626284108005660300e+01
2.328683286832868363e-02 3.608047053510512114e+01
2.338673386733867293e-02 3.589967930078127267e+01
2.348663486634866571e-02 3.572044720739094004e+01
2.358653586535865501e-02 3.554275442696890508e+01
2.368643686436864432e-02 3.536658146607236120e+01
2.378633786337863709e-02 3.519190915875603309e+01
2.388623886238862293e-02 3.501871865972363906e+01
2.398613986139861570e-02 3.484699143765038087e+01
2.408604086040860501e-02 3.467670926867177172e+01
2.418594185941859431e-02 3.450785423003362240e+01
2.428584285842858709e-02 3.434040869389900763e+01
2.438574385743857292e-02 3.417435532130722464e+01
2.448564485644856570e-02 3.400967705628074356e+01
2.458554585545855500e-02 3.384635712007587927e+01
2.468544685446854431e-02 3.368437900557295706e+01
2.478534785347853708e-02 3.352372647180220611e+01
2.488524885248852639e-02 3.336438353860155814e+01
2.498514985149851569e-02 3.320633448140243615e+01
2.508505085050850847e-02 3.304956382614036414e+01
2.518495184951849430e-02 3.289405634428656811e+01
2.528485284852848708e-02 3.273979704799729262e+01
2.538475384753847638e-02 3.258677118537786299e+01
2.548465484654846569e-02 3.243496423585796151e+01
