Neutron Energy [MeV],Neutron Yield [n s^-1 cm^-3 MeV^-1]
0.20253164556962025,8.750000000000001e-10
0.26329113924050634,8.750000000000001e-10
0.3240506329113924,8.750000000000001e-10
0.3848101265822785,8.750000000000001e-10
0.44556962025316454,8.750000000000001e-10
0.5063291139240507,8.750000000000001e-10
0.5670886075949367,8.750000000000001e-10
0.6278481012658228,8.750000000000001e-10
0.6784810126582278,8.750000000000001e-10
0.7291139240506329,8.750000000000001e-10
0.789873417721519,8.750000000000001e-10
0.850632911392405,8.750000000000001e-10
0.9113924050632911,8.750000000000001e-10
0.9721518987341772,8.750000000000001e-10
1.0329113924050632,8.750000000000001e-10
1.0936708860759494,8.750000000000001e-10
1.1443037974683545,8.750000000000001e-10
1.1949367088607594,8.750000000000001e-10
1.2556962025316456,8.750000000000001e-10
1.3164556962025316,8.750000000000001e-10
1.3772151898734177,8.750000000000001e-10
1.4379746835443037,8.750000000000001e-10
1.4987341772151899,8.750000000000001e-10
1.559493670886076,8.750000000000001e-10
1.610126582278481,8.750000000000001e-10
1.660759493670886,8.750000000000001e-10
1.7215189873417722,8.750000000000001e-10
1.7822784810126582,8.750000000000001e-10
1.8430379746835444,8.750000000000001e-10
1.9037974683544303,8.750000000000001e-10
1.9645569620253165,8.750000000000001e-10
2.0253164556962027,8.750000000000001e-10
2.0759493670886076,8.750000000000001e-10
2.1265822784810124,8.750000000000001e-10
2.187341772151899,8.750000000000001e-10
2.248101265822785,8.750000000000001e-10
2.3088607594936708,8.750000000000001e-10
2.369620253164557,8.750000000000001e-10
2.430379746835443,8.750000000000001e-10
2.491139240506329,8.750000000000001e-10
2.551898734177215,8.750000000000001e-10
2.6025316455696204,8.750000000000001e-10
2.6531645569620252,8.750000000000001e-10
2.713924050632911,8.750000000000001e-10
2.7746835443037976,8.750000000000001e-10
2.8354430379746836,8.750000000000001e-10
2.8962025316455695,8.750000000000001e-10
2.956962025316456,8.750000000000001e-10
3.017721518987342,8.750000000000001e-10
3.0683544303797468,8.750000000000001e-10
3.118987341772152,8.750000000000001e-10
3.179746835443038,8.750000000000001e-10
3.240506329113924,8.750000000000001e-10
3.30126582278481,8.750000000000001e-10
3.3620253164556964,8.750000000000001e-10
3.4227848101265823,8.750000000000001e-10
3.4835443037974683,8.750000000000001e-10
3.5341772151898736,8.750000000000001e-10
3.5848101265822785,8.750000000000001e-10
3.6455696202531644,8.750000000000001e-10
3.706329113924051,8.750000000000001e-10
3.767088607594937,8.750000000000001e-10
3.8278481012658228,8.750000000000001e-10
3.8886075949367087,8.750000000000001e-10
3.949367088607595,8.750000000000001e-10
4.0,8.750000000000001e-10
4.050632911392405,8.750000000000001e-10
4.111392405063291,8.750000000000001e-10
4.172151898734177,8.750000000000001e-10
4.232911392405064,8.750000000000001e-10
4.293670886075949,8.750000000000001e-10
4.3544303797468356,8.750000000000001e-10
4.415189873417722,8.750000000000001e-10
4.4759493670886075,8.750000000000001e-10
4.526582278481013,8.750000000000001e-10
4.577215189873418,8.750000000000001e-10
4.637974683544304,8.750000000000001e-10
4.69873417721519,8.750000000000001e-10
4.7594936708860756,8.750000000000001e-10
4.820253164556962,8.750000000000001e-10
4.881012658227848,8.750000000000001e-10
4.941772151898734,8.750000000000001e-10
4.992405063291139,8.750000000000001e-10
5.0430379746835445,8.750000000000001e-10
5.10379746835443,8.750000000000001e-10
5.1645569620253164,8.750000000000001e-10
5.225316455696203,8.750000000000001e-10
5.286075949367088,8.750000000000001e-10
5.346835443037975,8.750000000000001e-10
5.407594936708861,8.750000000000001e-10
5.458227848101266,8.750000000000001e-10
5.508860759493671,8.750000000000001e-10
5.569620253164557,8.750000000000001e-10
5.630379746835443,8.750000000000001e-10
5.691139240506329,8.750000000000001e-10
5.751898734177215,8.750000000000001e-10
5.812658227848101,8.750000000000001e-10
5.8734177215189876,8.750000000000001e-10
5.924050632911392,8.750000000000001e-10
