#ZVView-data-copy:  10-Jul-2025 09:29:07
#=======================================
#
#name:   ENDF/B-VIII.1: XE-124(N,G)XE-125
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  1627
#data...
#            X            Y
#          MeV        barns
         1e-11       7404.5 
   1.10304e-11      7050.19 
   1.21669e-11      6712.83 
   1.34206e-11      6391.62 
   1.48034e-11      6085.78 
   1.63287e-11      5794.57 
   1.80111e-11       5517.3 
   1.98669e-11       5253.3 
   2.19139e-11      5001.92 
   2.41719e-11      4762.58 
   2.66625e-11      4534.69 
   2.94097e-11       4317.7 
     3.244e-11       4111.1 
   3.57825e-11      3914.39 
   3.94694e-11      3727.08 
   4.35362e-11      3548.74 
   4.80221e-11      3378.94 
   5.29701e-11      3217.26 
    5.8428e-11      3063.31 
   6.44483e-11      2916.74 
   7.10888e-11      2777.17 
   7.84136e-11      2644.29 
   8.64931e-11      2517.76 
   9.54051e-11      2397.29 
   1.05235e-10      2282.59 
   1.16078e-10      2173.37 
   1.28039e-10      2069.38 
   1.41231e-10      1970.37 
   1.55784e-10      1876.09 
   1.71835e-10      1786.33 
    1.8954e-10      1700.86 
    2.0907e-10      1619.48 
   2.30612e-10         1542 
   2.54374e-10      1468.22 
   2.80584e-10      1397.98 
   3.09494e-10       1331.1 
   3.41383e-10      1267.41 
   3.76558e-10      1206.78 
   4.15358e-10      1149.05 
   4.58155e-10      1094.08 
   5.05362e-10      1041.74 
   5.57433e-10      991.908 
   6.14869e-10      944.461 
   6.78223e-10      899.285 
   7.48105e-10      856.272 
   8.25188e-10      815.317 
   9.10213e-10      776.324 
      1.004e-9      739.197 
    1.10745e-9      703.848 
    1.22155e-9      670.191 
    1.34742e-9      638.146 
    1.48625e-9      607.636 
    1.63939e-9      578.587 
    1.80831e-9      550.929 
    1.99463e-9      524.596 
    2.20016e-9      499.525 
    2.42685e-9      475.655 
    2.67691e-9      452.929 
    2.95273e-9      431.292 
    3.25697e-9      410.692 
    3.59256e-9       391.08 
    3.96272e-9      372.408 
    4.37103e-9      354.633 
    4.82141e-9       337.71 
    5.31819e-9        321.6 
    5.86616e-9      306.264 
    6.47059e-9      291.665 
     7.1373e-9      277.769 
    7.87271e-9      264.542 
    8.68389e-9      251.951 
    9.57865e-9      239.965 
    1.05656e-8      228.555 
    1.16543e-8      217.692 
    1.28551e-8      207.352 
    1.41796e-8       197.51 
    1.56406e-8      188.143 
    1.72522e-8      179.228 
    1.90298e-8      170.743 
    2.09906e-8       162.67 
    2.31534e-8      154.988 
    2.52419e-8      148.532 
       2.53e-8      148.364 
    2.79068e-8      141.377 
    3.07823e-8       134.73 
     3.3954e-8      128.408 
    3.74525e-8      122.394 
    4.13115e-8      116.675 
    4.55681e-8      111.236 
    5.02633e-8      106.066 
    5.54423e-8      101.151 
    6.11549e-8      96.4798 
    6.74561e-8      92.0411 
    7.44066e-8      87.8243 
    8.20732e-8      83.8195 
    9.11684e-8      79.7522 
    1.01266e-7       75.908 
    1.12489e-7       72.273 
    1.24948e-7      68.8409 
    1.38795e-7      65.5992 
    1.54168e-7      62.5423 
    1.71253e-7      59.6594 
    1.90221e-7      56.9458 
    2.11301e-7      54.3919 
    2.34706e-7      51.9939 
    2.60715e-7      49.7438 
    2.89593e-7      47.6384 
    3.21685e-7      45.6707 
    3.57316e-7      43.8396 
    3.96913e-7      42.1413 
    4.40876e-7      40.5726 
    4.93163e-7      39.0404 
    5.51652e-7      37.6531 
    6.17077e-7       36.411 
    6.90262e-7      35.3214 
    7.72126e-7      34.3872 
      8.637e-7      33.6186 
    9.66133e-7      33.0288 
    1.07943e-6      32.6408 
    1.20081e-6      32.4772 
    1.22628e-6       32.472 
    1.35777e-6      32.5904 
    1.49767e-6       32.964 
     1.6405e-6      33.5929 
    1.78435e-6      34.4759 
    1.92723e-6      35.6095 
    2.06707e-6      36.9853 
    2.20163e-6      38.5844 
    2.32853e-6      40.3727 
     2.4455e-6      42.2967 
    2.55047e-6      44.2828 
    2.65994e-6       46.656 
    2.75482e-6       49.001 
    2.85295e-6      51.7572 
    2.93402e-6      54.3301 
    3.01739e-6      57.2921 
    3.10313e-6      60.7334 
    3.16911e-6      63.6965 
    3.23633e-6      67.0396 
    3.30514e-6      70.8494 
    3.37525e-6      75.2023 
    3.44701e-6      80.2325 
    3.49564e-6      84.0239 
    3.54496e-6      88.2299 
    3.59497e-6      92.9142 
    3.64569e-6      98.1566 
    3.69713e-6      104.054 
    3.74929e-6      110.723 
    3.80218e-6      118.309 
    3.84232e-6      124.704 
    3.88283e-6      131.802 
    3.92392e-6      139.753 
    3.96539e-6      148.661 
    4.00725e-6      158.686 
     4.0495e-6       170.02 
    4.07807e-6       178.48 
    4.10663e-6      187.678 
     4.1356e-6      197.853 
    4.16457e-6      208.987 
    4.19395e-6      221.384 
    4.22332e-6      235.046 
    4.25311e-6      250.378 
    4.28291e-6      267.421 
    4.31312e-6      286.727 
    4.33578e-6      302.744 
    4.35865e-6      320.436 
    4.38163e-6      339.953 
    4.40461e-6      361.455 
    4.42791e-6      385.574 
    4.45121e-6       412.37 
