#ZVView-data-copy:  10-Jul-2025 09:27:35
#=======================================
#
#name:   ENDF/B-VIII.1: XE-130(N,G)XE-131
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  5510
#data...
#            X            Y
#          MeV        barns
         1e-11      241.283 
   1.10304e-11      229.738 
   1.21669e-11      218.745 
   1.34206e-11      208.277 
   1.48034e-11      198.311 
   1.63287e-11      188.822 
   1.80111e-11      179.786 
   1.98669e-11      171.183 
   2.19139e-11      162.992 
   2.41719e-11      155.193 
   2.66625e-11      147.766 
   2.94097e-11      140.696 
     3.244e-11      133.963 
   3.57825e-11      127.553 
   3.94694e-11      121.449 
   4.35362e-11      115.638 
   4.80221e-11      110.104 
   5.29701e-11      104.836 
    5.8428e-11       99.819 
   6.44483e-11      95.0425 
   7.10888e-11      90.4945 
   7.84136e-11      86.1642 
   8.64931e-11      82.0411 
   9.54051e-11      78.1152 
   1.05235e-10      74.3772 
   1.16078e-10      70.8181 
   1.28039e-10      67.4292 
   1.41231e-10      64.2025 
   1.55784e-10      61.1302 
   1.71835e-10       58.205 
    1.8954e-10      55.4196 
    2.0907e-10      52.7676 
   2.30612e-10      50.2424 
   2.54374e-10      47.8381 
   2.80584e-10      45.5488 
   3.09494e-10       43.369 
   3.41383e-10      41.2936 
   3.76558e-10      39.3174 
   4.15358e-10      37.4358 
   4.58155e-10      35.6442 
   5.05362e-10      33.9384 
   5.57433e-10      32.3141 
   6.14869e-10      30.7675 
   6.78223e-10       29.295 
   7.48105e-10      27.8929 
   8.25188e-10      26.5578 
   9.10213e-10      25.2867 
      1.004e-9      24.0763 
    1.10745e-9      22.9238 
    1.22155e-9      21.8265 
    1.34742e-9      20.7817 
    1.48625e-9      19.7868 
    1.63939e-9      18.8395 
    1.80831e-9      17.9375 
    1.99463e-9      17.0787 
    2.20016e-9      16.2609 
    2.42685e-9      15.4822 
    2.67691e-9      14.7408 
    2.95273e-9      14.0348 
    3.25697e-9      13.3625 
    3.59256e-9      12.7224 
    3.96272e-9      12.1129 
    4.37103e-9      11.5325 
    4.82141e-9      10.9799 
    5.31819e-9      10.4537 
    5.86616e-9      9.95266 
    6.47059e-9       9.4756 
     7.1373e-9      9.02136 
    7.87271e-9      8.58883 
    8.68389e-9      8.17693 
    9.57865e-9      7.78465 
    1.05656e-8      7.41103 
    1.16543e-8      7.05518 
    1.28551e-8       6.7163 
    1.41796e-8      6.39352 
    1.56406e-8      6.08613 
    1.72522e-8      5.79336 
    1.90298e-8      5.51453 
    2.09906e-8      5.24895 
    2.31534e-8      4.99599 
    2.52419e-8       4.7832 
       2.53e-8      4.77765 
    2.79068e-8       4.5471 
    3.07823e-8      4.32749 
     3.3954e-8      4.11827 
    3.74525e-8      3.91896 
    4.13115e-8      3.72907 
    4.55681e-8      3.54815 
    5.02633e-8      3.37577 
    5.54423e-8       3.2115 
    6.11549e-8      3.05497 
    6.74561e-8      2.90578 
    7.44066e-8      2.76359 
    8.20732e-8      2.62805 
    9.05297e-8      2.49884 
    9.98577e-8      2.37564 
    1.10147e-7      2.25817 
    1.21496e-7      2.14613 
    1.34014e-7      2.03928 
    1.47823e-7      1.93733 
    1.63054e-7      1.84007 
    1.79855e-7      1.74725 
    1.98386e-7      1.65865 
    2.18827e-7      1.57406 
    2.41375e-7      1.49329 
    2.66245e-7      1.41614 
    2.93678e-7      1.34244 
    3.23938e-7      1.27201 
    3.57316e-7      1.20469 
    3.94132e-7      1.14032 
    4.34743e-7      1.07876 
    4.79537e-7      1.01987 
    5.25268e-7     0.967449 
    5.75332e-7     0.917144 
    6.30198e-7      0.86881 
    6.90262e-7     0.822409 
    7.56088e-7     0.777808 
    8.28152e-7     0.734978 
    9.07128e-7       0.6938 
    9.93586e-7      0.65425 
    1.08834e-6     0.616225 
    1.18378e-6     0.582462 
    1.28758e-6     0.549922 
    1.40049e-6     0.518558 
    1.52331e-6     0.488345 
    1.65689e-6     0.459266 
    1.80218e-6     0.431285 
    1.96022e-6      0.40436 
    2.11718e-6     0.380609 
    2.28682e-6     0.357733 
    2.46993e-6     0.335679 
    2.66784e-6      0.31448 
    2.88146e-6     0.294128 
    3.09053e-6      0.27632 
    3.31478e-6     0.259205 
     3.5553e-6     0.242735 
    3.81327e-6     0.226941 
    4.06151e-6     0.213311 
     4.3257e-6     0.200155 
    4.57503e-6     0.188928 
    4.90699e-6     0.175469 
    5.22643e-6     0.163915 
    5.56639e-6     0.152885 
    5.92876e-6     0.142356 
    6.27048e-6     0.133422 
     6.6319e-6     0.124884 
    7.01416e-6     0.116731 
    7.41844e-6     0.108963 
    7.84603e-6      0.10157 
    8.29826e-6     0.094545 
    8.77655e-6    0.0878877 
     9.2174e-6    0.0823526 
    9.68086e-6    0.0770803 
    1.01671e-5    0.0720705 
    1.06784e-5    0.0673119 
    1.12147e-5    0.0628026 
    1.17786e-5    0.0585315 
    1.23703e-5    0.0544962 
    1.29922e-5    0.0506846 
    1.36448e-5    0.0470946 
    1.43309e-5    0.0437126 
    1.49461e-5    0.0409781 
    1.55876e-5    0.0383899 
    1.62567e-5    0.0359366 
    1.69545e-5    0.0336177 
    1.76823e-5    0.0314301 
    1.84413e-5    0.0293689 
    1.92329e-5    0.0274232 
    2.00585e-5    0.0255914 
    2.09195e-5    0.0238699 
    2.18174e-5    0.0222545 
    2.27539e-5    0.0207383 
    2.37306e-5    0.0193141 
    2.47492e-5    0.0179817 
    2.58116e-5    0.0167369 
     2.6731e-5     0.015761 
    2.76845e-5     0.014839 
    2.88728e-5       0.0138 
    2.99012e-5    0.0129872 
    3.09678e-5    0.0122224 
    3.20709e-5    0.0115005 
    3.32148e-5    0.0108219 
    3.43979e-5    0.0101827 
