#ZVView-data-copy:   9-Jul-2025 14:59:23
#=======================================
#
#name:   CENDL-3.2: LI-6(N,A)H-3
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  371
#data...
#            X            Y
#          MeV        barns
          0.15     0.961047 
          0.16      1.08706 
          0.17      1.25404 
      0.174831      1.34675 
      0.181067      1.50538 
      0.184908      1.60754 
          0.19      1.76803 
         0.195      1.93511 
           0.2      2.13703 
         0.205      2.34905 
      0.219017      2.98314 
      0.223104       3.1527 
        0.2255       3.2415 
         0.227      3.29391 
          0.23      3.38287 
         0.233      3.44986 
         0.236      3.49385 
        0.2395        3.513 
      0.243386      3.49185 
         0.246       3.4569 
         0.248      3.41887 
         0.251      3.34091 
         0.254      3.24791 
         0.258      3.10392 
      0.265862      2.78378 
         0.275      2.40505 
          0.28      2.21206 
         0.285      2.03406 
          0.29      1.87107 
         0.295      1.72506 
           0.3      1.59406 
         0.305      1.47805 
          0.31      1.37407 
          0.32      1.19884 
         0.325      1.07435 
          0.36       0.7821 
         0.375     0.724833 
          0.38     0.669129 
           0.4     0.558787 
         0.425     0.514991 
          0.45     0.462015 
         0.475     0.424008 
           0.5     0.394009 
          0.55     0.351008 
           0.6     0.323005 
          0.65     0.303003 
           0.7     0.288003 
           0.8     0.269002 
           0.9     0.257002 
             1     0.250001 
       1.13126     0.246375 
           1.2     0.245001 
       1.30917     0.246275 
       1.40988     0.249494 
       1.53189     0.255914 
       1.61129     0.260451 
           1.7     0.263995 
       1.76234     0.261259 
        1.8127     0.257984 
        1.9134      0.24966 
       2.02822     0.237896 
       2.12963     0.227037 
           2.2     0.219999 
          2.25     0.214001 
       2.33245      0.20608 
       2.51764     0.189589 
       2.63668     0.179821 
        2.7694     0.168448 
           2.9     0.158001 
       3.04232      0.14963 
        3.2138     0.140173 
           3.5     0.126001 
          3.75     0.116001 
       4.18629     0.102784 
       4.27998     0.100268 
       4.53174    0.0942143 
       4.81701    0.0881597 
       5.07054     0.083202 
       5.32407     0.078626 
        5.5776     0.074374 
       6.04232    0.0670905 
       6.33818    0.0629008 
       6.54585    0.0601314 
             7    0.0545002 
       7.30114    0.0512886 
       7.55291    0.0488133 
       7.80467    0.0465408 
             8    0.0449001 
       8.42541    0.0419072 
       8.55996    0.0410642 
       8.93604    0.0390326 
       9.18849    0.0378707 
           9.5    0.0366001 
       9.88756    0.0354148 
            10    0.0351001 
       10.1411    0.0347896 
       10.2842    0.0344749 
       10.4292    0.0341557 
          10.5        0.034 
       10.6481    0.0337334 
       10.7984    0.0334629 
       10.9507    0.0331887 
            11       0.0331 
       11.1552    0.0328827 
       11.3126    0.0326624 
       11.4722     0.032439 
          11.5       0.0324 
       11.6622    0.0322053 
       11.8268    0.0320079 
       11.9936    0.0318076 
            12       0.0318 
       12.1693     0.031563 
        12.341    0.0313226 
          12.5       0.0311 
       12.6764    0.0308178 
       12.8552    0.0305317 
            13       0.0303 
       13.1834    0.0299699 
       13.3694    0.0296351 
          13.5       0.0294 
       13.6905    0.0289429 
       13.8836    0.0284793 
       14.0795    0.0280092 
       14.2781    0.0275325 
       14.4796    0.0270491 
          14.5        0.027 
       14.7046    0.0264272 
        14.912    0.0258463 
            15       0.0256 
       15.2116    0.0249651 
       15.4262    0.0243213 
       15.6439    0.0236684 
       15.8646    0.0230063 
            16       0.0226 
       16.2257    0.0220131 
       16.4546    0.0214179 
          16.5       0.0213 
       16.7328    0.0207413 
       16.9689    0.0201747 
            17       0.0201 
       17.2398    0.0197163 
       17.4831    0.0193271 
          17.5       0.0193 
       17.7469    0.0186581 
       17.9973    0.0180071 
            18        0.018 
       18.2539    0.0175937 
       18.5115    0.0171816 
       18.7726    0.0167638 
       19.0375      0.01634 
       19.3061    0.0159103 
          19.5       0.0156 
       19.7751    0.0152699 
            20        0.015 
//
#-------------------------------------------------------------------------------
