#ZVView-data-copy:  10-Jul-2025 09:26:10
#=======================================
#
#name:   ENDF/B-VIII.1: XE-134(N,G)XE-135
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  2782
#data...
#            X            Y
#          MeV        barns
         1e-11      13.3264 
   1.10304e-11      12.6887 
   1.21669e-11      12.0816 
   1.34206e-11      11.5034 
   1.48034e-11       10.953 
   1.63287e-11      10.4289 
   1.80111e-11      9.92985 
   1.98669e-11       9.4547 
   2.19139e-11      9.00228 
   2.41719e-11      8.57152 
   2.66625e-11      8.16136 
   2.94097e-11      7.77083 
     3.244e-11      7.39899 
   3.57825e-11      7.04494 
   3.94694e-11      6.70783 
   4.35362e-11      6.38686 
   4.80221e-11      6.08124 
   5.29701e-11      5.79025 
    5.8428e-11      5.51318 
   6.44483e-11      5.24937 
   7.10888e-11      4.99818 
   7.84136e-11      4.75901 
   8.64931e-11      4.53129 
   9.54051e-11      4.31446 
   1.05235e-10      4.10801 
   1.16078e-10      3.91144 
   1.28039e-10      3.72427 
   1.41231e-10      3.54606 
   1.55784e-10      3.37638 
   1.71835e-10      3.21481 
    1.8954e-10      3.06098 
    2.0907e-10      2.91451 
   2.30612e-10      2.77505 
   2.54374e-10      2.64226 
   2.80584e-10      2.51582 
   3.09494e-10      2.39544 
   3.41383e-10      2.28081 
   3.76558e-10      2.17167 
   4.15358e-10      2.06775 
   4.58155e-10      1.96881 
   5.05362e-10       1.8746 
   5.57433e-10      1.78489 
   6.14869e-10      1.69948 
   6.78223e-10      1.61816 
   7.48105e-10      1.54073 
   8.25188e-10        1.467 
   9.10213e-10       1.3968 
      1.004e-9      1.32996 
    1.10745e-9      1.26632 
    1.22155e-9      1.20572 
    1.34742e-9      1.14802 
    1.48625e-9      1.09308 
    1.63939e-9      1.04078 
    1.80831e-9     0.990971 
    1.99463e-9     0.943549 
    2.20016e-9     0.898395 
    2.42685e-9     0.855402 
    2.67691e-9     0.814467 
    2.95273e-9     0.775489 
    3.25697e-9     0.738377 
    3.59256e-9     0.703041 
    3.96272e-9     0.669395 
    4.37103e-9      0.63736 
    4.82141e-9     0.606858 
    5.31819e-9     0.577817 
    5.86616e-9     0.550168 
    6.47059e-9     0.523844 
     7.1373e-9     0.498781 
    7.87271e-9     0.474918 
    8.68389e-9     0.452194 
    9.57865e-9     0.430555 
    1.05656e-8     0.409948 
    1.16543e-8     0.390325 
    1.28551e-8     0.371641 
    1.41796e-8     0.353848 
    1.56406e-8     0.336906 
    1.72522e-8     0.320775 
    1.90298e-8     0.305414 
    2.09906e-8     0.290788 
    2.31534e-8     0.276861 
    2.52419e-8     0.265148 
       2.53e-8     0.264843 
    2.79068e-8     0.252158 
    3.07823e-8     0.240079 
     3.3954e-8     0.228577 
    3.74525e-8     0.217624 
    4.13115e-8     0.207195 
    4.55681e-8     0.197264 
    5.02633e-8     0.187807 
    5.54423e-8     0.178802 
    6.11549e-8     0.170227 
    6.74561e-8     0.162061 
