#ZVView-data-copy:  10-Jul-2025 09:24:22
#=======================================
#
#name:   ENDF/B-VIII.1: XE-136(N,G)XE-137
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  4263
#data...
#            X            Y
#          MeV        barns
         1e-11      13.0816 
   1.10304e-11      12.4557 
   1.21669e-11      11.8596 
   1.34206e-11      11.2922 
   1.48034e-11      10.7518 
   1.63287e-11      10.2373 
   1.80111e-11      9.74748 
   1.98669e-11      9.28107 
   2.19139e-11      8.83697 
   2.41719e-11      8.41412 
   2.66625e-11       8.0115 
   2.94097e-11      7.62815 
     3.244e-11      7.26315 
   3.57825e-11      6.91561 
   3.94694e-11       6.5847 
   4.35362e-11      6.26963 
   4.80221e-11      5.96963 
   5.29701e-11      5.68399 
    5.8428e-11      5.41202 
   6.44483e-11      5.15306 
   7.10888e-11       4.9065 
   7.84136e-11      4.67173 
   8.64931e-11       4.4482 
   9.54051e-11      4.23536 
   1.05235e-10      4.03271 
   1.16078e-10      3.83976 
   1.28039e-10      3.65604 
   1.41231e-10      3.48112 
   1.55784e-10      3.31456 
   1.71835e-10      3.15597 
    1.8954e-10      3.00498 
    2.0907e-10      2.86121 
   2.30612e-10      2.72432 
   2.54374e-10      2.59398 
   2.80584e-10      2.46987 
   3.09494e-10      2.35171 
   3.41383e-10       2.2392 
   3.76558e-10      2.13208 
   4.15358e-10      2.03008 
   4.58155e-10      1.93297 
   5.05362e-10       1.8405 
   5.57433e-10      1.75245 
   6.14869e-10      1.66862 
   6.78223e-10      1.58881 
   7.48105e-10      1.51281 
   8.25188e-10      1.44045 
   9.10213e-10      1.37155 
      1.004e-9      1.30594 
    1.10745e-9      1.24348 
    1.22155e-9      1.18401 
    1.34742e-9      1.12738 
    1.48625e-9      1.07347 
    1.63939e-9      1.02213 
    1.80831e-9     0.973248 
    1.99463e-9     0.926707 
    2.20016e-9     0.882393 
    2.42685e-9       0.8402 
    2.67691e-9     0.800025 
    2.95273e-9     0.761773 
    3.25697e-9     0.725352 
    3.59256e-9     0.690674 
    3.96272e-9     0.657655 
    4.37103e-9     0.626217 
    4.82141e-9     0.596284 
    5.31819e-9     0.567785 
    5.86616e-9     0.540652 
    6.47059e-9      0.51482 
     7.1373e-9     0.490226 
    7.87271e-9     0.466809 
    8.68389e-9     0.444511 
    9.57865e-9     0.423278 
    1.05656e-8     0.403057 
    1.16543e-8     0.383802 
    1.28551e-8     0.365469 
    1.41796e-8     0.348011 
    1.56406e-8     0.331389 
    1.72522e-8     0.315562 
    1.90298e-8     0.300492 
    2.09906e-8     0.286142 
    2.31534e-8     0.272479 
    2.52419e-8      0.26099 
       2.53e-8     0.260691 
    2.79068e-8     0.248247 
    3.07823e-8     0.236399 
     3.3954e-8     0.225117 
    3.74525e-8     0.214375 
    4.13115e-8     0.204146 
    4.55681e-8     0.194407 
    5.02633e-8     0.185134 
    5.54423e-8     0.176304 
    6.11549e-8     0.167897 
    6.74561e-8     0.159892 
    7.44066e-8      0.15227 
    8.20732e-8     0.145013 
    9.05297e-8     0.138103 
    9.98577e-8     0.131523 
    1.10147e-7     0.125258 
    1.21496e-7     0.119292 
    1.34014e-7     0.113612 
    1.47823e-7     0.108204 
    1.63054e-7     0.103054 
    1.79855e-7    0.0981503 
    1.98386e-7    0.0934811 
    2.18827e-7    0.0890351 
    2.41375e-7    0.0848017 
    2.66245e-7    0.0807705 
    2.93678e-7    0.0769321 
    3.23938e-7     0.073277 
    3.57316e-7    0.0697966 
    3.94132e-7    0.0664824 
    4.34743e-7    0.0633266 
    4.79537e-7    0.0603214 
    5.28947e-7    0.0574597 
    5.83448e-7    0.0547346 
    6.43565e-7    0.0521396 
    7.09876e-7    0.0496683 
     7.8302e-7     0.047315 
      8.637e-7    0.0450738 
    9.52693e-7    0.0429395 
    1.05086e-6    0.0409068 
    1.15913e-6     0.038971 
    1.27857e-6    0.0371273 
     1.4103e-6    0.0353714 
    1.55562e-6    0.0336989 
     1.7159e-6    0.0321058 
    1.89271e-6    0.0305883 
    2.08772e-6    0.0291428 
    2.30284e-6    0.0277656 
    2.54012e-6    0.0264536 
    2.80184e-6    0.0252035 
    3.09053e-6    0.0240124 
    3.40897e-6    0.0228776 
    3.76022e-6    0.0217962 
    4.14767e-6    0.0207658 
    4.57503e-6    0.0197839 
    5.04643e-6    0.0188481 
    5.56639e-6    0.0179562 
    6.13994e-6     0.017106 
    6.77258e-6    0.0162955 
     7.4704e-6    0.0155225 
    8.29826e-6    0.0147339 
    9.15328e-6    0.0140328 
    1.00964e-5    0.0133639 
    1.11367e-5    0.0127256 
    1.22842e-5    0.0121164 
    1.35499e-5    0.0115349 
    1.49461e-5    0.0109798 
    1.64861e-5    0.0104497 
    1.81848e-5   0.00994361 
    2.00585e-5   0.00946023 
    2.21252e-5    0.0089984 
    2.44049e-5   0.00855697 
    2.69195e-5   0.00813485 
    2.96932e-5   0.00773108 
    3.27527e-5   0.00734476 
    3.61275e-5   0.00697502 
      3.985e-5   0.00662108 
     4.3956e-5   0.00628216 
    4.84851e-5   0.00595756 
    5.31062e-5   0.00566857 
    5.85781e-5   0.00536983 
    6.46138e-5   0.00508307 
    7.07757e-5   0.00482858 
    7.75213e-5   0.00458358 
    8.49141e-5   0.00434797 
    9.30073e-5   0.00412169 
   0.000101877    0.0039042 
   0.000111587   0.00369546 
   0.000122228   0.00349512 
   0.000133817   0.00330447 
   0.000146578   0.00312081 
   0.000159432   0.00295843 
   0.000174449   0.00279159 
   0.000189225     0.002647 
   0.000205251    0.0025088 
   0.000221087   0.00238807 
   0.000238132   0.00227135 
   0.000257213   0.00215665 
   0.000278998   0.00204069 
   0.000301029    0.0019372 
   0.000326789   0.00183149 
   0.000353568   0.00173558 
   0.000383514   0.00164195 
   0.000415186   0.00155616 
   0.000446084   0.00148296 
   0.000479009   0.00141451 
   0.000514059   0.00135064 
   0.000553021   0.00128867 
   0.000597897   0.00122704 
   0.000645282   0.00117114 
   0.000696405   0.00111941 
   0.000752633   0.00107101 
   0.000814748   0.00102565 
   0.000881897  0.000984274 
    0.00095622  0.000946022 
    0.00103923  0.000910477 
    0.00113596  0.000876543 
    0.00124243  0.000846374 
    0.00136162  0.000819246 
    0.00149598  0.000795087 
    0.00164756  0.000773905 
    0.00180558  0.000757407 
    0.00192491  0.000749462 
    0.00196281  0.000748621 
    0.00201053  0.000750721 
    0.00203938  0.000756116 
    0.00205705  0.000763134 
    0.00206936  0.000771365 
    0.00208105  0.000783802 
    0.00208741  0.000793685 
    0.00209376  0.000807002 
    0.00209904  0.000821901 
    0.00210408  0.000840862 
    0.00210736  0.000856701 
    0.00211072  0.000876931 
    0.00211408   0.00090247 
    0.00211654  0.000925756 
    0.00211899  0.000954196 
    0.00212125  0.000986099 
    0.00212309   0.00101762 
    0.00212493    0.0010554 
    0.00212623   0.00108659 
    0.00212759   0.00112448 
    0.00212895   0.00116873 
    0.00213031   0.00122082 
     0.0021314   0.00126974 
    0.00213264   0.00133468 
    0.00213347   0.00138471 
    0.00213429   0.00144124 
    0.00213503   0.00149808 
    0.00213577   0.00156203 
     0.0021365   0.00163433 
    0.00213724   0.00171649 
    0.00213784   0.00179246 
    0.00213845   0.00187758 
    0.00213905   0.00197339 
    0.00213965   0.00208176 
     0.0021402   0.00219222 
    0.00214074   0.00231683 
    0.00214129   0.00245814 
     0.0021417   0.00257695 
    0.00214205   0.00269117 
    0.00214249   0.00284785 
    0.00214294   0.00302422 
    0.00214327   0.00317146 
     0.0021436   0.00333346 
    0.00214398   0.00354117 
    0.00214436   0.00377499 
    0.00214465   0.00397024 
    0.00214493   0.00418509 
    0.00214521   0.00441362 
    0.00214547   0.00464681 
    0.00214572   0.00490317 
    0.00214598   0.00518591 
    0.00214624   0.00549885 
    0.00214649   0.00584654 
    0.00214676    0.0062478 
    0.00214696   0.00658119 
    0.00214716   0.00694642 
