#ZVView-data-copy:  10-Jul-2025 09:26:47
#=======================================
#
#name:   ENDF/B-VIII.1: XE-132(N,G)XE-133
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  2792
#data...
#            X            Y
#          MeV        barns
   0.000101254    0.0391695 
   0.000101787    0.0419932 
   0.000102142    0.0440751 
   0.000102502    0.0463743 
   0.000102862    0.0488819 
   0.000103223    0.0516239 
   0.000103583    0.0546303 
   0.000103948    0.0579843 
   0.000104314    0.0616897 
   0.000104679    0.0657976 
   0.000105044     0.070368 
   0.000105408    0.0754546 
   0.000105681    0.0796691 
   0.000105954    0.0842729 
   0.000106228    0.0893147 
   0.000106501    0.0948513 
   0.000106802     0.101626 
   0.000107028     0.107224 
   0.000107255     0.113324 
   0.000107481     0.119987 
   0.000107707     0.127285 
   0.000107908     0.134357 
   0.000108108     0.142061 
   0.000108309     0.150474 
    0.00010851     0.159688 
    0.00010871      0.16981 
   0.000108894     0.179974 
   0.000109069     0.190571 
   0.000109244     0.202164 
   0.000109419     0.214881 
   0.000109594     0.228873 
   0.000109711     0.238994 
   0.000109897     0.256607 
   0.000110037     0.271161 
   0.000110176     0.287023 
   0.000110316     0.304355 
   0.000110455     0.323342 
   0.000110592     0.343819 
   0.000110729     0.366348 
   0.000110866     0.391215 
   0.000111004     0.418756 
   0.000111141     0.449362 
   0.000111252     0.476862 
   0.000111351     0.503421 
    0.00011145     0.532303 
   0.000111549     0.563793 
   0.000111648     0.598215 
   0.000111714     0.622975 
   0.000111825     0.668708 
   0.000111909     0.706452 
   0.000111993     0.747536 
   0.000112077     0.792369 
   0.000112161     0.841427 
    0.00011224     0.892299 
    0.00011232     0.948003 
   0.000112399      1.00917 
   0.000112479      1.07656 
   0.000112558      1.15104 
   0.000112626      1.22169 
   0.000112689      1.29267 
   0.000112752      1.37013 
   0.000112815      1.45489 
   0.000112878      1.54791 
   0.000112939      1.64629 
   0.000112995      1.74568 
    0.00011305      1.85454 
   0.000113106      1.97414 
   0.000113162      2.10595 
   0.000113218      2.25174 
   0.000113267      2.39202 
   0.000113315      2.54618 
   0.000113364      2.71617 
   0.000113413      2.90429 
   0.000113462      3.11329 
   0.000113504      3.31338 
   0.000113543      3.51604 
   0.000113581      3.73863 
    0.00011362      3.98397 
   0.000113659      4.25544 
   0.000113697      4.54714 
   0.000113732      4.84954 
   0.000113767      5.18513 
   0.000113802      5.55945 
   0.000113837      5.97942 
   0.000113861      6.28901 
   0.000113892      6.74396 
   0.000113921      7.22234 
    0.00011395      7.76176 
    0.00011397      8.16168 
   0.000113989      8.59948 
   0.000114009      9.08116 
   0.000114028      9.61402 
   0.000114047        10.19 
   0.000114066      10.8328 
   0.000114085      11.5549 
   0.000114104      12.3711 
   0.000114117      12.9764 
   0.000114129      13.6378 
   0.000114144      14.5114 
   0.000114159      15.4894 
   0.000114171      16.3011 
   0.000114182      17.1885 
   0.000114194      18.2281 
   0.000114208       19.527 
   0.000114221      20.9806 
   0.000114233      22.4195 
   0.000114245      23.9091 
   0.000114256      25.5498 
   0.000114268      27.4207 
   0.000114279      29.4893 
   0.000114289      31.2966 
   0.000114297      33.1313 
   0.000114309      35.7116 
   0.000114317      37.8895 
   0.000114327      40.3927 
   0.000114338      43.7024 
   0.000114349      47.3391 
   0.000114361      51.3307 
   0.000114372      55.7062 
   0.000114383      60.4958 
   0.000114395      65.7306 
   0.000114403      70.1322 
   0.000114412      74.8377 
   0.000114421      79.8625 
    0.00011443      85.2216 
   0.000114441      92.2038 
   0.000114451      99.7284 
   0.000114462      107.821 
   0.000114473      116.507 
   0.000114483       125.81 
   0.000114494      135.749 
   0.000114505      146.345 
   0.000114515      157.614 
   0.000114526      169.568 
   0.000114542      188.804 
   0.000114558      209.616 
   0.000114574      231.995 
    0.00011459      255.904 
   0.000114606      281.275 
   0.000114628      317.204 
   0.000114649      355.031 
    0.00011468      413.772 
   0.000114745      538.516 
   0.000114771      585.161 
   0.000114795      626.156 
   0.000114817      659.055 
   0.000114834      681.785 
   0.000114851      701.406 
   0.000114868      717.589 
   0.000114886      730.059 
   0.000114904      739.232 
    0.00011492      743.064 
    0.00011493       743.75 
   0.000114948      741.223 
   0.000114965      734.811 
   0.000114982      724.278 
   0.000114999       709.92 
   0.000115016      691.987 
    0.00011504      662.056 
   0.000115059      633.617 
   0.000115085      591.222 
    0.00011511      545.039 
   0.000115162      447.128 
   0.000115201      371.754 
   0.000115228       323.66 
   0.000115249      288.297 
   0.000115268      257.638 
   0.000115283      236.007 
   0.000115297      215.603 
   0.000115312      196.458 
   0.000115327      177.946 
   0.000115337      165.558 
   0.000115348       153.86 
   0.000115359      142.839 
   0.000115369      132.483 
    0.00011538      122.774 
   0.000115391      113.693 
   0.000115401      105.217 
   0.000115413      96.6375 
   0.000115422       90.156 
   0.000115432      84.0919 
   0.000115441      78.4266 
   0.000115451      73.1414 
    0.00011546      68.2175 
    0.00011547      63.6361 
   0.000115479      59.3785 
   0.000115489      55.4263 
   0.000115498      51.7616 
   0.000115508      48.3668 
   0.000115519      44.7647 
   0.000115529      41.4736 
    0.00011554      38.4696 
   0.000115551      35.7296 
   0.000115562      33.2322 
   0.000115573      30.9567 
   0.000115584      28.8843 
   0.000115595       26.997 
   0.000115606      25.2782 
   0.000115617      23.7125 
   0.000115628       22.243 
    0.00011564      20.8297 
   0.000115652       19.551 
   0.000115664      18.3928 
   0.000115676      17.3423 
   0.000115688       16.388 
     0.0001157      15.5195 
   0.000115712      14.7276 
