#ZVView-data-copy:  10-Jul-2025 09:28:23
#=======================================
#
#name:   ENDF/B-VIII.1: XE-128(N,G)XE-129
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  4846
#data...
#            X            Y
#          MeV        barns
         1e-11      261.521 
   1.10304e-11      249.007 
   1.21669e-11      237.092 
   1.34206e-11      225.747 
   1.48034e-11      214.945 
   1.63287e-11       204.66 
   1.80111e-11      194.866 
   1.98669e-11      185.542 
   2.19139e-11      176.663 
   2.41719e-11       168.21 
   2.66625e-11      160.161 
   2.94097e-11      152.497 
     3.244e-11        145.2 
   3.57825e-11      138.252 
   3.94694e-11      131.636 
   4.35362e-11      125.337 
   4.80221e-11       119.34 
   5.29701e-11      113.629 
    5.8428e-11      108.192 
   6.44483e-11      103.015 
   7.10888e-11      98.0855 
   7.84136e-11       93.392 
   8.64931e-11      88.9231 
   9.54051e-11       84.668 
   1.05235e-10      80.6165 
   1.16078e-10      76.7589 
   1.28039e-10      73.0858 
   1.41231e-10      69.5886 
   1.55784e-10      66.2586 
   1.71835e-10       63.088 
    1.8954e-10      60.0691 
    2.0907e-10      57.1947 
   2.30612e-10      54.4578 
   2.54374e-10      51.8519 
   2.80584e-10      49.3706 
   3.09494e-10      47.0081 
   3.41383e-10      44.7587 
   3.76558e-10      42.6168 
   4.15358e-10      40.5775 
   4.58155e-10      38.6357 
   5.05362e-10      36.7868 
   5.57433e-10      35.0264 
   6.14869e-10      33.3503 
   6.78223e-10      31.7543 
   7.48105e-10      30.2347 
   8.25188e-10      28.7878 
   9.10213e-10      27.4101 
      1.004e-9      26.0984 
    1.10745e-9      24.8494 
    1.22155e-9      23.6601 
    1.34742e-9      22.5278 
    1.48625e-9      21.4496 
    1.63939e-9       20.423 
    1.80831e-9      19.4456 
    1.99463e-9      18.5148 
    2.20016e-9      17.6287 
    2.42685e-9      16.7849 
    2.67691e-9      15.9814 
    2.95273e-9      15.2164 
    3.25697e-9       14.488 
    3.59256e-9      13.7945 
    3.96272e-9      13.1341 
    4.37103e-9      12.5053 
    4.82141e-9      11.9066 
    5.31819e-9      11.3365 
    5.86616e-9      10.7938 
    6.47059e-9       10.277 
     7.1373e-9      9.78502 
    7.87271e-9      9.31656 
    8.68389e-9      8.87048 
    9.57865e-9      8.44569 
    1.05656e-8      8.04113 
    1.16543e-8      7.65587 
    1.28551e-8        7.289 
    1.41796e-8      6.93963 
    1.56406e-8      6.60694 
    1.72522e-8      6.29013 
    1.90298e-8      5.98845 
    2.09906e-8      5.70117 
    2.31534e-8      5.42759 
    2.52419e-8       5.1975 
       2.53e-8       5.1915 
    2.79068e-8      4.94227 
    3.07823e-8      4.70492 
     3.3954e-8      4.47887 
    3.74525e-8      4.26359 
    4.13115e-8      4.05857 
    4.55681e-8       3.8633 
    5.02633e-8      3.67732 
    5.54423e-8      3.50019 
    6.11549e-8      3.33148 
    6.74561e-8      3.17078 
    7.44066e-8       3.0177 
    8.20732e-8      2.87188 
    9.05297e-8      2.73297 
    9.98577e-8      2.60063 
    1.10147e-7      2.47455 
    1.21496e-7      2.35442 
    1.34014e-7      2.23996 
    1.47823e-7      2.13088 
    1.63054e-7      2.02693 
    1.79855e-7      1.92786 
    1.98386e-7      1.83343 
    2.18827e-7      1.74342 
    2.41375e-7       1.6576 
    2.66245e-7      1.57577 
    2.93678e-7      1.49774 
    3.23938e-7      1.42332 
    3.57316e-7      1.35233 
    3.94132e-7       1.2846 
    4.34743e-7      1.21997 
    4.79537e-7       1.1583 
    5.28947e-7      1.09942 
    5.83448e-7      1.04321 
    6.43565e-7     0.989524 
    7.09876e-7     0.938246 
     7.8302e-7     0.889253 
      8.637e-7      0.84243 
    9.52693e-7     0.797672 
    1.05086e-6     0.754874 
    1.15107e-6     0.716791 
    1.26078e-6     0.680262 
    1.38101e-6     0.645179 
    1.51264e-6     0.611516 
    1.65689e-6     0.579173 
    1.81481e-6     0.548127 
    1.98787e-6     0.518288 
    2.17734e-6     0.489634 
    2.38498e-6     0.462087 
    2.61229e-6     0.435631 
    2.86141e-6     0.410199 
    3.11233e-6     0.387617 
    3.38526e-6     0.365887 
    3.68212e-6     0.344955 
    4.00501e-6     0.324772 
    4.35622e-6     0.305341 
    4.73822e-6     0.286683 
    5.11762e-6     0.270232 
    5.52767e-6      0.25432 
    5.97029e-6     0.239074 
    6.44866e-6     0.224352 
    6.91657e-6     0.211476 
     7.4704e-6      0.19787 
    8.01245e-6     0.185967 
    8.59383e-6     0.174548 
    9.15328e-6     0.164651 
    9.81744e-6     0.154054 
     1.0456e-5     0.144972 
    1.10587e-5     0.137161 
    1.16961e-5     0.129598 
    1.25448e-5     0.120595 
    1.32678e-5     0.113746 
    1.40326e-5     0.107099 
    1.49461e-5    0.0999885 
    1.58075e-5    0.0939554 
    1.67187e-5    0.0882009 
    1.76823e-5    0.0827022 
    1.87015e-5    0.0774701 
    1.97794e-5    0.0724969 
    2.09195e-5    0.0677714 
    2.21252e-5    0.0632995 
    2.34005e-5    0.0590687 
    2.45759e-5    0.0555627 
    2.58116e-5    0.0522296 
    2.71081e-5    0.0490745 
    2.84711e-5     0.046085 
    2.99012e-5    0.0432646 
    3.14047e-5    0.0406019 
    3.29822e-5    0.0380995 
    3.46406e-5    0.0357455 
    3.63806e-5    0.0335432 
    3.82098e-5    0.0314816 
    4.01291e-5    0.0295616 
    4.18516e-5    0.0280201 
     4.3956e-5    0.0263463 
    4.61639e-5    0.0248036 
    4.81454e-5    0.0235814 
    5.05663e-5    0.0222749 
    5.27368e-5    0.0212545 
    5.50005e-5    0.0203286 
    5.73614e-5    0.0195002 
    5.94045e-5    0.0188909 
    6.15235e-5    0.0183492 
    6.37149e-5     0.017904 
    6.59876e-5    0.0175475 
    6.78627e-5    0.0173503 
     6.9791e-5    0.0172331 
    7.10162e-5    0.0172147 
    7.25262e-5     0.017258 
    7.40646e-5    0.0173862 
    7.56393e-5    0.0176207 
    7.72437e-5     0.017989 
    7.83335e-5    0.0183304 
    7.94387e-5    0.0187698 
    8.05594e-5    0.0193281 
    8.14118e-5    0.0198456 
    8.22722e-5    0.0204606 
    8.31407e-5    0.0212029 
    8.40174e-5    0.0220986 
      8.461e-5    0.0227994 
    8.52027e-5    0.0235975 
    8.58037e-5    0.0245198 
    8.64048e-5    0.0255759 
    8.70143e-5    0.0268058 
    8.76238e-5    0.0282289 
    8.80873e-5    0.0294638 
    8.85509e-5    0.0308483 
    8.90167e-5    0.0324299 
    8.94868e-5    0.0342487 
    8.99569e-5    0.0363232 
    9.02726e-5    0.0378839 
    9.05904e-5    0.0396207 
    9.09082e-5    0.0415424 
    9.12261e-5    0.0436748 
    9.15461e-5    0.0460687 
    9.18685e-5    0.0487683 
    9.21908e-5    0.0518016 
    9.25131e-5    0.0552245 
    9.28059e-5    0.0587269 
    9.30691e-5     0.062258 
    9.33323e-5     0.066209 
    9.35955e-5    0.0706452 
     9.3844e-5    0.0753541 
    9.40779e-5    0.0803237 
    9.43117e-5    0.0859022 
    9.44871e-5    0.0905471 
    9.46625e-5    0.0956442 
    9.48647e-5      0.10216 
    9.50163e-5     0.107559 
