#ZVView-data-copy:  10-Jul-2025 09:27:11
#=======================================
#
#name:   ENDF/B-VIII.1: XE-131(N,G)XE-132
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  11821
#data...
#            X            Y
#          MeV        barns
         1e-11      4518.01 
   1.10304e-11      4301.82 
   1.21669e-11      4095.97 
   1.34206e-11      3899.98 
   1.48034e-11      3713.36 
   1.63287e-11      3535.67 
   1.80111e-11      3366.49 
   1.98669e-11       3205.4 
   2.19139e-11      3052.02 
   2.41719e-11      2905.98 
   2.66625e-11      2766.92 
   2.94097e-11      2634.52 
     3.244e-11      2508.46 
   3.57825e-11      2388.43 
   3.94694e-11      2274.14 
   4.35362e-11      2165.32 
   4.80221e-11      2061.71 
   5.29701e-11      1963.06 
    5.8428e-11      1869.12 
   6.44483e-11      1779.69 
   7.10888e-11      1694.53 
   7.84136e-11      1613.44 
   8.64931e-11      1536.24 
   9.54051e-11      1462.73 
   1.05235e-10      1392.74 
   1.16078e-10       1326.1 
   1.28039e-10      1262.64 
   1.41231e-10      1202.22 
   1.55784e-10       1144.7 
   1.71835e-10      1089.93 
    1.8954e-10      1037.77 
    2.0907e-10      988.116 
   2.30612e-10      940.835 
   2.54374e-10      895.817 
   2.80584e-10      852.953 
   3.09494e-10      812.141 
   3.41383e-10      773.281 
   3.76558e-10      736.281 
   4.15358e-10      701.051 
   4.58155e-10      667.508 
   5.05362e-10      635.569 
   5.57433e-10      605.159 
   6.14869e-10      576.205 
   6.78223e-10      548.636 
   7.48105e-10      522.386 
   8.25188e-10      497.392 
   9.10213e-10      473.595 
      1.004e-9      450.936 
    1.10745e-9      429.362 
    1.22155e-9      408.821 
    1.34742e-9      389.262 
    1.48625e-9       370.64 
    1.63939e-9      352.909 
    1.80831e-9      336.026 
    1.99463e-9      319.952 
    2.20016e-9      304.647 
    2.42685e-9      290.075 
    2.67691e-9        276.2 
    2.95273e-9      262.989 
    3.25697e-9      250.411 
    3.59256e-9      238.435 
    3.96272e-9      227.033 
    4.37103e-9      216.177 
    4.82141e-9       205.84 
    5.31819e-9          196 
    5.86616e-9      186.631 
    6.47059e-9      177.712 
     7.1373e-9       169.22 
    7.87271e-9      161.136 
    8.68389e-9      153.439 
    9.57865e-9       146.11 
    1.05656e-8      139.131 
    1.16543e-8      132.486 
    1.28551e-8      126.159 
    1.41796e-8      120.135 
    1.56406e-8        114.4 
    1.72522e-8       108.94 
    1.90298e-8      103.742 
    2.09906e-8      98.7935 
    2.31534e-8      94.0823 
    2.52419e-8      90.1214 
       2.53e-8      90.0182 
    2.79068e-8      85.7291 
    3.07823e-8      81.6463 
     3.3954e-8      77.7596 
    3.74525e-8      74.0598 
    4.13115e-8      70.5381 
    4.55681e-8      67.1861 
    5.02633e-8      63.9957 
    5.54423e-8      60.9592 
    6.11549e-8      58.0693 
    6.74561e-8       55.319 
    7.44066e-8      52.7023 
    8.20732e-8      50.2122 
    9.05297e-8      47.8424 
    9.98577e-8      45.5881 
    1.10147e-7      43.4435 
    1.21496e-7      41.4035 
    1.34014e-7      39.4632 
    1.47823e-7       37.618 
    1.63054e-7      35.8635 
    1.79855e-7      34.1954 
    1.98386e-7      32.6098 
    2.18827e-7      31.1029 
    2.41375e-7      29.6711 
    2.66245e-7      28.3111 
    2.93678e-7      27.0197 
    3.26223e-7      25.7083 
    3.62357e-7      24.4693 
    4.02512e-7      23.2982 
    4.47096e-7      22.1929 
    4.96642e-7      21.1496 
    5.51652e-7      20.1666 
    6.12785e-7      19.2406 
    6.80659e-7      18.3701 
    7.56088e-7      17.5523 
    8.39835e-7      16.7865 
    9.32904e-7      16.0701 
    1.03624e-6      15.4025 
    1.15107e-6      14.7823 
    1.27857e-6      14.2096 
    1.42025e-6      13.6829 
    1.57757e-6      13.2032 
    1.75239e-6      12.7709 
    1.94649e-6      12.3879 
    2.14705e-6      12.0799 
    2.36827e-6      11.8145 
    2.61229e-6      11.6038 
    2.84137e-6      11.4823 
    2.94171e-6      11.4643 
    3.02397e-6      11.4987 
    3.05746e-6      11.5496 
    3.09115e-6      11.6537 
    3.12531e-6      11.8462 
    3.16574e-6      12.1453 
    3.18428e-6      12.2402 
    3.19888e-6      12.2661 
    3.20927e-6      12.2539 
    3.23103e-6       12.154 
    3.28647e-6       11.744 
    3.32016e-6      11.5754 
    3.36508e-6      11.4593 
    3.43246e-6       11.389 
    3.58446e-6      11.3525 
    3.60147e-6      11.3523 
    3.89004e-6      11.4003 
    4.26081e-6      11.5568 
