Bin Center	Bin Value
1.0084766734865977e-06	4674.135108888007
1.025573728446591e-06	4635.011119597415
1.0429606357115412e-06	4596.214153545729
1.0606423092481435e-06	4557.741745547164
1.0786237463312785e-06	4519.591866101322
1.096910028956362e-06	4481.761204309103
1.1155063252756382e-06	4444.246912269687
1.1344178910588306e-06	4407.046623909003
1.1536500711785527e-06	4370.158221320973
1.1732083011208957e-06	4333.5781454664875
1.1930981085216315e-06	4297.304339903191
1.213325114728462e-06	4261.334320020056
1.2338950363897473e-06	4225.665153502443
1.2548136870701676e-06	4190.294627467419
1.276086978893783e-06	4155.220338662941
1.297720924214946e-06	4120.439482885273
1.3197216373175394e-06	4085.949636082021
1.3420953361430188e-06	4051.7487695863083
1.3648483440477588e-06	4017.83390891177
1.3879870915901932e-06	3984.2031502106975
1.4115181183482398e-06	3950.8538106071223
1.4354480747675497e-06	3917.783505034982
1.4597837240410894e-06	3884.990158020976
1.484531944020583e-06	3852.4712219148155
1.509699729160358e-06	3820.2245857046382
1.5352941924941531e-06	3788.2477977893504
1.56132256764544e-06	3756.5385977200804
1.5877922108718152e-06	3725.0949234294026
1.6147106031440625e-06	3693.9143694406107
1.6420853522604615e-06	3662.994924228443
1.669924194996937e-06	3632.3342153074677
1.698234999293656e-06	3601.930067600834
1.727025766478706e-06	3571.7805109830474
1.7563046335294701e-06	3541.883466485208
1.7860798753723282e-06	3512.2368545036466
1.816359907221357e-06	3482.8381929686293
1.8471532869566818e-06	3453.6852727438163
1.8784687175431391e-06	3424.7761685264177
1.9103150494899438e-06	3396.10983442468
1.942701283352064e-06	3367.6831559341535
1.9756365722740036e-06	3339.4941419239844
2.009130224576702e-06	3311.5410093781165
2.043191706388287e-06	3283.822191335431
2.077830644319443e-06	3256.335211694581
2.1130568281841312e-06	3229.0784770335654
2.148880213766419e-06	3202.049824386781
2.1853109256342356e-06	3175.2473248103925
2.2223592600008277e-06	3148.669292614175
2.260035687634718e-06	3122.3136534520218
2.2983508568189965e-06	3096.178716804199
2.33731559636079e-06	3070.2624788196226
2.3769409186517584e-06	3044.5631078321308
2.4172380227804506e-06	3019.078950960251
2.458218297697449e-06	2993.808032894957
2.499893325434172e-06	2968.7487364357
2.5422748843762352e-06	2943.8991452704195
2.5853749525923086e-06	2919.2574875188966
2.6292057112194152e-06	2894.8221411836817
2.6737795479056283e-06	2870.5913827324503
2.7191090603111086e-06	2846.5634159330266
2.765207059668523e-06	2822.7367026481734
2.812086574403813e-06	2799.1095128663956
2.8597608538183485e-06	2775.6799157683777
2.908243371833496e-06	2752.4461346025555
2.9575478307986853e-06	2729.4071227221016
3.007688165364037e-06	2706.5610292179354
3.0586785464186307e-06	2683.9060451715995
3.1105333850955385e-06	2661.4404048830693
3.1632673368447717e-06	2639.163281683814
3.216895305575281e-06	2617.0725360468423
3.271432447867146e-06	2595.16652873892
3.326894177255208e-06	2573.4438320118334
3.3832961685853226e-06	2551.9032379351997
3.4406543624444367e-06	2530.542772003751
3.4989849696657957e-06	2509.361080351178
3.5583044759105364e-06	2488.3567674630467
3.6186296463269256e-06	2467.5282801971593
3.679977530288602e-06	2446.8739004201207
3.7423654662131476e-06	2426.3927635717
3.8058110864623638e-06	2406.0828942659946
3.870332322325599e-06	2385.9430001857804
3.935947409087562e-06	2365.9717157943505
4.0026748911820734e-06	2346.1675985415723
4.070533627433186e-06	2326.5292107336654
4.1395427963851244e-06	2307.05530433625
4.209721901722633e-06	2287.744338247761
4.2810907777831974e-06	2268.594951742206
4.3536695951627085e-06	2249.6059716194736
4.427478866416158e-06	2230.7758314968983
4.5025394518550016e-06	2212.1034107443616
4.5788725654428015e-06	2193.5872359624373
4.656499780790804e-06	2175.2259909966315
4.735443037255164e-06	2157.0185231264563
4.815724646137554e-06	2138.963405716434
4.897367296990898e-06	2121.059469438684
4.980394064031971e-06	2103.305409941802
5.0648284126627486e-06	2085.6999778583527
5.150694206102325e-06	2068.241980619872
5.23801571213121e-06	2050.9298729482484
5.3268176099500205e-06	2033.7627640448045
5.417124997154431e-06	2016.7394208947417
5.508963396828368e-06	1999.858541473442
5.602358764757438e-06	1983.1187513273405
5.697337496764694e-06	1966.5193964644338
5.793926436170743e-06	1950.0588928569516
5.892152881380323e-06	1933.7360824570294
5.9920445935974825e-06	1917.5498907971178
6.093629804671601e-06	1901.499330029333
6.1969372250764114e-06	1885.582948008759
6.301996052024249e-06	1869.7999191457368
6.408835977717925e-06	1854.148979832209
6.517487197742476e-06	1838.6289804401854
6.627980419599171e-06	1823.238889763897
6.740346871384189e-06	1807.977727669549
6.854618310614458e-06	1792.8442183783636
6.970827033203125e-06	1777.8374066494514
7.089005882587156e-06	1762.956226010696
7.209188259009688e-06	1748.1994935301439
7.331408128959766e-06	1733.5664641307806
7.4557000347721344e-06	1719.0558125513617
7.582099104389701e-06	1704.6666342756916
7.710641061291574e-06	1690.397919365645
7.841362234589427e-06	1676.2485474926125
7.974299569294943e-06	1662.2177526891176
8.109490636761403e-06	1648.3043335329571
8.2469736453023e-06	1634.5073683153005
8.386787450989916e-06	1620.8258978738884
8.528971568637e-06	1607.2589235543035
8.673566182964624e-06	1593.8055480018302
8.820612159959398e-06	1580.4649016503463
8.970151058423186e-06	1567.2359153503035
9.122225141718621e-06	1554.1175525391543
9.276877389713784e-06	1541.1088103003515
9.434151510929404e-06	1528.2091323715172
9.594091954891897e-06	1515.4175199131196
9.756743924695923e-06	1502.7328912938738
9.922153389779922e-06	1490.1543295906713
1.009036709891814e-05	1477.7328582132343
1.0261432593433015e-05	1465.4423062045582
1.0435398220631543e-05	1453.2303863440914
1.0612313147469377e-05	1441.112096435638
1.079222737444664e-05	1429.118767098632
1.0975191749739265e-05	1417.2261048471573
1.1161257983569949e-05	1405.4090551758613
1.1350478662822769e-05	1393.7068431086302
1.1542907265905469e-05	1382.1195140558837
1.1738598177863784e-05	1370.6043394568778
1.1937606705752042e-05	1359.19511547018
1.2139989094264214e-05	1347.8927227953016
1.2345802541630085e-05	1336.6707429730052
1.25551052157809e-05	1325.547426080254
1.276795627078901e-05	1314.5256220273338
1.2984415863586297e-05	1303.5875417640768
1.3204545170965955e-05	1292.7403886942352
1.3428406406872572e-05	1281.9966614867515
1.365606283998538e-05	1271.3309624172134
1.3887578811599428e-05	1260.7585385503012
1.4123019753810072e-05	1250.283791371915
1.4362452208005724e-05	1239.8808371325501
1.4605943843673997e-05	1229.586008953012
1.4853563477526813e-05	1219.3642378226336
1.5105381092949725e-05	1209.235151587644
1.5361467859780866e-05	1199.1910339106735
1.5621896154425324e-05	1189.2286456852237
1.5886739580310524e-05	1179.353637462873
1.6156072988688328e-05	1169.560479258845
1.6429972499789846e-05	1159.8493552308466
1.6708515524338865e-05	1150.2233630905248
1.6991780785430004e-05	1140.673687923649
1.7279848340777897e-05	1131.2122730873439
1.7572799605343317e-05	1121.8278508907488
1.787071737434314e-05	1112.545922205183
1.817368584665031e-05	1103.3259826343049
1.8481790648590444e-05	1094.1630413821654
1.8795118858141955e-05	1085.0815367418056
1.911375902954649e-05	1076.1010498901533
1.943780121833644e-05	1067.1890624180912
1.976733700678692e-05	1058.334201328963
2.010245952979909e-05	1049.560140247808
2.0443263501222395e-05	1040.8699131199057
2.0789845240623102e-05	1032.2486145398423
2.1142302700506447e-05	1023.7008967609811
2.150073549400046e-05	1015.2323902874267
